# Created by Octave 5.2.0, Sat Sep 05 17:32:10 2020 GMT <unknown@DESKTOP-FG2RT7V>
# name: Xt
# type: matrix
# rows: 80
# columns: 2
 0.67012718199999999 0.50421391199999999
 0.70759775499999999 0.62835271199999998
 0.71637378549999997 0.60283096479999998
 0.60565041549999987 0.46423253760000005
 0.49414466949999997 0.61133271039999992
 0.63693444700000001 0.81066164479999991
 0.74777550699999995 0.68215839680000001
 0.6526952064999999 0.47032205120000004
 0.65101469649999988 0.70096732319999999
 0.73160712100000003 0.75208357280000004
 0.52321024149999995 0.58917698559999998
 0.60801456549999988 0.78657558719999998
 0.55026543549999996 0.77496669280000008
 0.59432503749999988 0.47276733599999998
 0.56739048699999983 0.74375169439999989
 0.71293088049999986 0.50375830080000006
 0.70084172950000001 0.40718390400000004
 0.48693907750000004 0.8311201936
 0.93774231249999984 0.5949423184
 0.4240573165 0.556817232
 0.34683401200000002 0.51720187360000003
 0.49777849899999999 0.54379031840000003
 0.49562789950000002 0.73835243039999998
 0.58873280199999989 0.63241382719999994
 0.48642715450000001 0.36150011999999998
 0.34611342550000002 0.94736898400000003
 0.57293354499999993 0.57453903840000009
 0.59585731450000001 0.60302452799999995
 0.52565915499999993 0.49404640160000002
 0.61208909349999996 0.81520543680000002
 0.64186158849999986 0.73372864000000004
 0.73291221549999996 0.59812857760000004
 0.69455543949999998 0.75285819840000001
 0.61182637449999988 0.84771151840000003
 0.92980475649999994 0.54849064159999994
 0.51402372099999993 0.53521345600000003
 0.58841307549999988 0.70785013759999993
 0.56478811749999991 0.46896098080000004
 0.53677077699999998 0.49531059519999998
 0.753591016 0.66840480000000002
 0.30073804150000005 0.36635770400000001
 0.43216453899999996 0.50540048000000004
 0.22694846950000003 0.45700208959999999
 0.50741797749999995 0.36458738879999997
 0.50764506699999989 0.45443568639999998
 0.29550119949999998 0.42151908159999996
 0.44591521299999998 0.44977661599999996
 0.37946015799999999 0.59072191200000002
 0.37211783200000004 0.33315417599999997
 0.50301149349999996 0.42922747360000002
 0.28863278949999999 0.3120408368
 0.4361370685 0.50034670400000003
 0.38385195100000002 0.46559992960000007
 0.37228271949999997 0.39669971520000002
 0.33905428600000004 0.42501154720000001
 0.43901264950000002 0.50571145280000007
 0.36203598850000002 0.38123508319999999
 0.44150085699999997 0.52925324160000009
 0.368241451 0.48785377600000002
 0.42011335 0.47237173440000002
 0.37223471199999997 0.38956363840000008
 0.51808927449999986 0.40097181920000002
 0.23749518549999998 0.48969058240000007
 0.52488606849999997 0.43346580479999997
 0.41706658149999998 0.28995032640000001
 0.47507800900000002 0.59559526880000002
 0.45676701999999997 0.47236293920000005
 0.4099431355 0.5226497296
 0.34989179500000001 0.40433813439999999
 0.51600392049999988 0.52578267519999999
 0.41049165100000001 0.55892157760000005
 0.44258124549999994 0.47895860000000001
 0.43157440149999998 0.40388161600000005
 0.45868254250000001 0.52242025920000001
 0.42283933899999998 0.47521802880000008
 0.475087435 0.41131081120000001
 0.36916239849999999 0.2624854096
 0.45035137450000001 0.373577304
 0.48086079249999997 0.38856742560000002
 0.36457375000000003 0.3185254528


